Day,Port sim,Port data,Port error,National sim,National data,National error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,13,13,0.0,0,0,0.0,0,0,0,0,0,0
1,11,100,0.89,0,230,1.0,1.3869565217391304,330,243,230,11,0
2,11,121,0.9091,0,160,1.0,1.6875,281,243,160,11,70
3,11,321,0.9657,0,211,1.0,2.4691943127962084,532,243,211,11,19
4,11,202,0.9455,0,114,1.0,2.675438596491228,316,243,114,11,116
5,11,202,0.9455,0,114,1.0,2.675438596491228,316,243,114,11,116
6,11,202,0.9455,0,114,1.0,2.675438596491228,316,243,114,11,116
7,11,202,0.9455,0,114,1.0,2.675438596491228,316,243,114,11,116
8,11,202,0.9455,0,114,1.0,2.675438596491228,316,243,114,11,116
9,11,202,0.9455,1,114,0.9912,2.6666666666666665,316,243,114,12,116
10,11,202,0.9455,3,114,0.9737,2.6491228070175437,316,243,114,14,116
11,10,202,0.9505,4,114,0.9649,2.6491228070175437,316,243,114,14,116
12,10,202,0.9505,5,114,0.9561,2.6403508771929824,316,243,114,15,116
13,10,202,0.9505,5,114,0.9561,2.6403508771929824,316,243,114,15,116
14,9,202,0.9554,5,114,0.9561,2.6491228070175437,316,243,114,14,116
15,10,202,0.9505,5,114,0.9561,2.6403508771929824,316,243,114,15,116
16,10,202,0.9505,5,114,0.9561,2.6403508771929824,316,243,114,15,116
17,11,202,0.9455,5,114,0.9561,2.6315789473684212,316,243,114,16,116
18,12,202,0.9406,5,114,0.9561,2.6228070175438596,316,243,114,17,116
19,13,202,0.9356,6,114,0.9474,2.6052631578947367,316,243,114,19,116
20,13,202,0.9356,7,114,0.9386,2.5964912280701755,316,243,114,20,116
21,12,202,0.9406,7,114,0.9386,2.6052631578947367,316,243,114,19,116
22,12,202,0.9406,9,114,0.9211,2.587719298245614,316,243,114,21,116
23,13,202,0.9356,11,114,0.9035,2.56140350877193,316,243,114,24,116
24,13,202,0.9356,12,114,0.8947,2.5526315789473686,316,243,114,25,116
25,14,202,0.9307,12,114,0.8947,2.543859649122807,316,243,114,26,116
26,15,202,0.9257,12,114,0.8947,2.5350877192982457,316,243,114,27,116
27,17,202,0.9158,14,114,0.8772,2.5,316,243,114,31,116
28,17,202,0.9158,16,114,0.8596,2.482456140350877,316,243,114,33,116
29,17,202,0.9158,16,114,0.8596,2.482456140350877,316,243,114,33,116
30,18,202,0.9109,16,114,0.8596,2.473684210526316,316,243,114,34,116
31,18,202,0.9109,17,114,0.8509,2.4649122807017543,316,243,114,35,116
32,18,202,0.9109,17,114,0.8509,2.4649122807017543,316,243,114,35,116
33,17,202,0.9158,18,114,0.8421,2.4649122807017543,316,243,114,35,116
34,17,202,0.9158,19,114,0.8333,2.456140350877193,316,243,114,36,116
35,17,202,0.9158,19,114,0.8333,2.456140350877193,316,243,114,36,116
36,17,202,0.9158,20,114,0.8246,2.4473684210526314,316,243,114,37,116
37,17,202,0.9158,21,114,0.8158,2.43859649122807,316,243,114,38,116
38,18,202,0.9109,22,114,0.807,2.4210526315789473,316,243,114,40,116
39,17,202,0.9158,23,114,0.7982,2.4210526315789473,316,243,114,40,116
40,17,202,0.9158,23,114,0.7982,2.4210526315789473,316,243,114,40,116
41,16,202,0.9208,26,114,0.7719,2.4035087719298245,316,243,114,42,116
42,16,202,0.9208,26,114,0.7719,2.4035087719298245,316,243,114,42,116
43,16,202,0.9208,26,114,0.7719,2.4035087719298245,316,243,114,42,116
44,17,202,0.9158,27,114,0.7632,2.3859649122807016,316,243,114,44,116
45,20,202,0.901,28,114,0.7544,2.3508771929824563,316,243,114,48,116
46,20,202,0.901,28,114,0.7544,2.3508771929824563,316,243,114,48,116
47,20,202,0.901,28,114,0.7544,2.3508771929824563,316,243,114,48,116
48,22,202,0.8911,28,114,0.7544,2.3333333333333335,316,243,114,50,116
49,22,202,0.8911,28,114,0.7544,2.3333333333333335,316,243,114,50,116
