Day,Port sim,Port data,Port error,National sim,National data,National error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,8,13,0.3846,0,0,0.0,0,0,0,0,0,0
1,5,100,0.95,0,230,1.0,1.4130434782608696,330,243,230,5,0
2,0,121,1.0,0,160,1.0,1.75625,281,243,160,0,70
3,0,321,1.0,0,211,1.0,2.5213270142180093,532,243,211,0,19
4,0,202,1.0,0,114,1.0,2.7719298245614037,316,243,114,0,116
5,0,202,1.0,0,114,1.0,2.7719298245614037,316,243,114,0,116
6,0,202,1.0,0,114,1.0,2.7719298245614037,316,243,114,0,116
7,0,202,1.0,0,114,1.0,2.7719298245614037,316,243,114,0,116
8,0,202,1.0,0,114,1.0,2.7719298245614037,316,243,114,0,116
9,0,202,1.0,16,114,0.8596,2.6315789473684212,316,243,114,16,116
10,0,202,1.0,29,114,0.7456,2.517543859649123,316,243,114,29,116
11,0,202,1.0,33,114,0.7105,2.482456140350877,316,243,114,33,116
12,1,202,0.995,25,114,0.7807,2.543859649122807,316,243,114,26,116
13,6,202,0.9703,25,114,0.7807,2.5,316,243,114,31,116
14,9,202,0.9554,22,114,0.807,2.5,316,243,114,31,116
15,23,202,0.8861,19,114,0.8333,2.4035087719298245,316,243,114,42,116
16,31,202,0.8465,19,114,0.8333,2.3333333333333335,316,243,114,50,116
17,27,202,0.8663,17,114,0.8509,2.3859649122807016,316,243,114,44,116
18,26,202,0.8713,22,114,0.807,2.3508771929824563,316,243,114,48,116
19,25,202,0.8762,19,114,0.8333,2.3859649122807016,316,243,114,44,116
20,24,202,0.8812,21,114,0.8158,2.3771929824561404,316,243,114,45,116
21,23,202,0.8861,25,114,0.7807,2.3508771929824563,316,243,114,48,116
22,18,202,0.9109,25,114,0.7807,2.3947368421052633,316,243,114,43,116
23,20,202,0.901,26,114,0.7719,2.3684210526315788,316,243,114,46,116
24,21,202,0.896,31,114,0.7281,2.3157894736842106,316,243,114,52,116
25,16,202,0.9208,30,114,0.7368,2.3684210526315788,316,243,114,46,116
26,17,202,0.9158,38,114,0.6667,2.289473684210526,316,243,114,55,116
27,14,202,0.9307,34,114,0.7018,2.3508771929824563,316,243,114,48,116
28,12,202,0.9406,36,114,0.6842,2.3508771929824563,316,243,114,48,116
29,14,202,0.9307,32,114,0.7193,2.3684210526315788,316,243,114,46,116
30,15,202,0.9257,32,114,0.7193,2.3596491228070176,316,243,114,47,116
31,19,202,0.9059,31,114,0.7281,2.3333333333333335,316,243,114,50,116
32,28,202,0.8614,34,114,0.7018,2.2280701754385963,316,243,114,62,116
33,26,202,0.8713,45,114,0.6053,2.1491228070175437,316,243,114,71,116
34,19,202,0.9059,39,114,0.6579,2.263157894736842,316,243,114,58,116
35,22,202,0.8911,34,114,0.7018,2.280701754385965,316,243,114,56,116
36,22,202,0.8911,30,114,0.7368,2.3157894736842106,316,243,114,52,116
37,20,202,0.901,30,114,0.7368,2.3333333333333335,316,243,114,50,116
38,23,202,0.8861,26,114,0.7719,2.3421052631578947,316,243,114,49,116
39,28,202,0.8614,20,114,0.8246,2.3508771929824563,316,243,114,48,116
40,22,202,0.8911,18,114,0.8421,2.4210526315789473,316,243,114,40,116
41,20,202,0.901,21,114,0.8158,2.412280701754386,316,243,114,41,116
42,16,202,0.9208,35,114,0.693,2.324561403508772,316,243,114,51,116
43,16,202,0.9208,32,114,0.7193,2.3508771929824563,316,243,114,48,116
44,19,202,0.9059,35,114,0.693,2.2982456140350878,316,243,114,54,116
45,20,202,0.901,33,114,0.7105,2.307017543859649,316,243,114,53,116
46,20,202,0.901,35,114,0.693,2.289473684210526,316,243,114,55,116
47,15,202,0.9257,37,114,0.6754,2.3157894736842106,316,243,114,52,116
48,14,202,0.9307,33,114,0.7105,2.3596491228070176,316,243,114,47,116
49,18,202,0.9109,30,114,0.7368,2.3508771929824563,316,243,114,48,116
