Day,Port sim,Port data,Port error,National sim,National data,National error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,11,13,0.1538,0,0,0.0,0,0,0,0,0,0
1,6,100,0.94,0,230,1.0,1.4086956521739131,330,243,230,6,0
2,3,121,0.9752,0,160,1.0,1.7375,281,243,160,3,70
3,2,321,0.9938,0,211,1.0,2.5118483412322274,532,243,211,2,19
4,2,202,0.9901,0,114,1.0,2.754385964912281,316,243,114,2,116
5,0,202,1.0,0,114,1.0,2.7719298245614037,316,243,114,0,116
6,0,202,1.0,0,114,1.0,2.7719298245614037,316,243,114,0,116
7,0,202,1.0,0,114,1.0,2.7719298245614037,316,243,114,0,116
8,0,202,1.0,0,114,1.0,2.7719298245614037,316,243,114,0,116
9,0,202,1.0,18,114,0.8421,2.6140350877192984,316,243,114,18,116
10,0,202,1.0,30,114,0.7368,2.508771929824561,316,243,114,30,116
11,0,202,1.0,33,114,0.7105,2.482456140350877,316,243,114,33,116
12,1,202,0.995,31,114,0.7281,2.491228070175439,316,243,114,32,116
13,1,202,0.995,31,114,0.7281,2.491228070175439,316,243,114,32,116
14,5,202,0.9752,24,114,0.7895,2.517543859649123,316,243,114,29,116
15,20,202,0.901,22,114,0.807,2.4035087719298245,316,243,114,42,116
16,27,202,0.8663,23,114,0.7982,2.3333333333333335,316,243,114,50,116
17,22,202,0.8911,21,114,0.8158,2.3947368421052633,316,243,114,43,116
18,24,202,0.8812,31,114,0.7281,2.289473684210526,316,243,114,55,116
19,22,202,0.8911,22,114,0.807,2.3859649122807016,316,243,114,44,116
20,25,202,0.8762,25,114,0.7807,2.3333333333333335,316,243,114,50,116
21,21,202,0.896,22,114,0.807,2.3947368421052633,316,243,114,43,116
22,17,202,0.9158,23,114,0.7982,2.4210526315789473,316,243,114,40,116
23,15,202,0.9257,30,114,0.7368,2.3771929824561404,316,243,114,45,116
24,15,202,0.9257,32,114,0.7193,2.3596491228070176,316,243,114,47,116
