Day,Pango_French_School sim,Pango_French_School data,Pango_French_School error,Matakeru_Church sim,Matakeru_Church data,Matakeru_Church error,Freshwind_SDA_CHURCH sim,Freshwind_SDA_CHURCH data,Freshwind_SDA_CHURCH error,Selime_Church sim,Selime_Church data,Selime_Church error,Mele_Presbyterian_Church sim,Mele_Presbyterian_Church data,Mele_Presbyterian_Church error,Nangirie_Presbyterian_Church_Hall sim,Nangirie_Presbyterian_Church_Hall data,Nangirie_Presbyterian_Church_Hall error,Iauko_Nakamal sim,Iauko_Nakamal data,Iauko_Nakamal error,Lycce_Lab sim,Lycce_Lab data,Lycce_Lab error,Saint_Joseph sim,Saint_Joseph data,Saint_Joseph error,Emau_PresbyterianChurch sim,Emau_PresbyterianChurch data,Emau_PresbyterianChurch error,Erakor_house_of_Refugee sim,Erakor_house_of_Refugee data,Erakor_house_of_Refugee error,Makira_Community_Hall sim,Makira_Community_Hall data,Makira_Community_Hall error,Anaburu_School sim,Anaburu_School data,Anaburu_School error,Agriculture_Dept_collage sim,Agriculture_Dept_collage data,Agriculture_Dept_collage error,Malapoa_College sim,Malapoa_College data,Malapoa_College error,Freswota_school sim,Freswota_school data,Freswota_school error,Malasitapu sim,Malasitapu data,Malasitapu error,Enam_Presbyterian_Church sim,Enam_Presbyterian_Church data,Enam_Presbyterian_Church error,AOG_Pango sim,AOG_Pango data,AOG_Pango error,Epauto_Secondary_School sim,Epauto_Secondary_School data,Epauto_Secondary_School error,Anglican_Church_Hall sim,Anglican_Church_Hall data,Anglican_Church_Hall error,Pakarua_Church sim,Pakarua_Church data,Pakarua_Church error,Sorovanga_School sim,Sorovanga_School data,Sorovanga_School error,Wan_Smol_Bag sim,Wan_Smol_Bag data,Wan_Smol_Bag error,AOG_tebakor_church sim,AOG_tebakor_church data,AOG_tebakor_church error,Port_Vila_Christian_School sim,Port_Vila_Christian_School data,Port_Vila_Christian_School error,Black_sands_church sim,Black_sands_church data,Black_sands_church error,Bible_Church_Tagabe sim,Bible_Church_Tagabe data,Bible_Church_Tagabe error,PVIS sim,PVIS data,PVIS error,Tagabe_Presbyterian_Church sim,Tagabe_Presbyterian_Church data,Tagabe_Presbyterian_Church error,Dubea_Hall sim,Dubea_Hall data,Dubea_Hall error,Erakor_community_church sim,Erakor_community_church data,Erakor_community_church error,Holen_Presbyterian_Church sim,Holen_Presbyterian_Church data,Holen_Presbyterian_Church error,Sea_Side_Tongoa sim,Sea_Side_Tongoa data,Sea_Side_Tongoa error,Total error,refugees in camps (UNHCR),total residents (simulation),raw UNHCR refugee count,residents in shelters (simulation),refugee_debt
0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
1,0,198,1.0,0,325,1.0,0,81,1.0,0,66,1.0,0,315,1.0,0,605,1.0,0,305,1.0,0,201,1.0,0,400,1.0,0,305,1.0,0,89,1.0,1,172,0.9942,0,136,1.0,0,130,1.0,0,91,1.0,0,516,1.0,1,116,0.9914,0,216,1.0,0,215,1.0,0,466,1.0,0,244,1.0,0,81,1.0,0,130,1.0,0,358,1.0,0,907,1.0,0,353,1.0,0,16,1.0,0,130,1.0,0,100,1.0,0,24,1.0,1,282,0.9965,0,152,1.0,0,203,1.0,0,405,1.0,0.999639985599424,8333,8333,8333,3,0
2,866,370,1.3405,23,607,0.9621,249,152,0.6382,77,124,0.379,0,588,1.0,108,1127,0.9042,0,568,1.0,1133,375,2.0213,57,746,0.9236,0,568,1.0,0,165,1.0,260,321,0.19,444,254,0.748,184,243,0.2428,227,170,0.3353,342,963,0.6449,361,217,0.6636,0,402,1.0,59,401,0.8529,98,870,0.8874,155,455,0.6593,302,151,1.0,17,243,0.93,197,668,0.7051,188,1690,0.8888,0,659,1.0,8,30,0.7333,177,242,0.2686,79,187,0.5775,285,45,5.3333,270,525,0.4857,0,284,1.0,0,378,1.0,5,755,0.9934,0.8774367882648137,15543,15543,15543,6171,0
3,2072,514,3.0311,107,845,0.8734,694,211,2.2891,279,172,0.6221,0,816,1.0,269,1565,0.8281,0,789,1.0,1019,521,0.9559,154,1038,0.8516,0,789,1.0,0,230,1.0,822,446,0.843,967,353,1.7394,349,338,0.0325,558,236,1.3644,953,1340,0.2888,773,302,1.5596,0,558,1.0,210,557,0.623,380,1210,0.686,309,634,0.5126,764,211,2.6209,49,339,0.8555,345,929,0.6286,1089,2347,0.536,0,916,1.0,39,42,0.0714,330,338,0.0237,217,260,0.1654,265,63,3.2063,635,729,0.1289,0,394,1.0,0,526,1.0,45,1050,0.9571,0.8471399481673454,21608,21608,21608,13693,0
4,3031,631,3.8035,177,1039,0.8296,694,260,1.6692,305,212,0.4387,0,1001,1.0,780,1918,0.5933,0,968,1.0,1019,639,0.5947,371,1276,0.7092,0,968,1.0,0,282,1.0,821,548,0.4982,966,434,1.2258,447,415,0.0771,861,290,1.969,2567,1648,0.5576,773,371,1.0836,0,685,1.0,439,684,0.3582,1517,1488,0.0195,405,779,0.4801,762,259,1.9421,486,416,0.1683,447,1143,0.6089,4051,2880,0.4066,0,1124,1.0,496,52,8.5385,427,415,0.0289,505,319,0.5831,265,77,2.4416,967,895,0.0804,0,484,1.0,0,645,1.0,216,1288,0.8323,0.7598085403082954,26533,26533,26533,23795,0
5,3322,721,3.6075,177,1189,0.8511,694,297,1.3367,305,243,0.2551,0,1143,1.0,1186,2188,0.458,0,1105,1.0,1019,730,0.3959,497,1460,0.6596,0,1105,1.0,0,322,1.0,820,625,0.312,966,495,0.9515,446,475,0.0611,948,332,1.8554,2564,1885,0.3602,770,425,0.8118,0,782,1.0,566,781,0.2753,1973,1702,0.1592,405,892,0.546,762,297,1.5657,1179,476,1.4769,449,1308,0.6567,4050,3288,0.2318,0,1284,1.0,495,59,7.3898,427,475,0.1011,505,365,0.3836,265,89,1.9775,1067,1022,0.044,0,552,1.0,0,736,1.0,318,1471,0.7838,0.707477159536924,30319,30319,30319,26175,0
6,3621,783,3.6245,178,1295,0.8625,694,324,1.142,305,264,0.1553,0,1241,1.0,1471,2373,0.3801,0,1200,1.0,1018,793,0.2837,653,1589,0.589,0,1200,1.0,0,349,1.0,819,679,0.2062,965,538,0.7937,447,518,0.1371,948,362,1.6188,2563,2053,0.2484,768,463,0.6587,0,849,1.0,648,848,0.2358,1970,1854,0.0626,405,971,0.5829,988,323,2.0588,1436,518,1.7722,449,1424,0.6847,4046,3571,0.133,0,1395,1.0,712,64,10.125,426,517,0.176,505,397,0.272,265,96,1.7604,1123,1110,0.0117,0,599,1.0,0,799,1.0,411,1598,0.7428,0.6745456200503687,32957,32957,32957,27834,0
7,4033,818,3.9303,178,1357,0.8688,694,339,1.0472,305,277,0.1011,0,1295,1.0,1602,2475,0.3527,0,1252,1.0,1017,828,0.2283,768,1665,0.5387,0,1252,1.0,0,365,1.0,817,709,0.1523,965,562,0.7171,447,542,0.1753,948,379,1.5013,2563,2151,0.1915,768,485,0.5835,0,886,1.0,651,886,0.2652,1968,1942,0.0134,404,1018,0.6031,988,339,1.9145,1435,543,1.6427,451,1493,0.6979,4042,3729,0.0839,0,1458,1.0,712,68,9.4706,426,542,0.214,505,416,0.2139,265,101,1.6238,1148,1160,0.0103,0,625,1.0,0,835,1.0,527,1669,0.6842,0.6532602071907374,34461,34461,34461,28627,0
8,4041,826,3.8923,179,1376,0.8699,693,344,1.0145,304,281,0.0819,0,1306,1.0,1644,2493,0.3406,0,1263,1.0,1016,836,0.2153,826,1687,0.5104,0,1263,1.0,0,368,1.0,816,716,0.1397,965,567,0.7019,447,550,0.1873,973,385,1.5273,2558,2179,0.1739,766,492,0.5569,0,894,1.0,666,895,0.2559,1968,1968,0.0,406,1032,0.6066,986,344,1.8663,1436,550,1.6109,451,1513,0.7019,4039,3763,0.0733,0,1473,1.0,711,69,9.3043,426,550,0.2255,504,421,0.1971,265,103,1.5728,1180,1171,0.0077,0,631,1.0,0,842,1.0,549,1685,0.6742,0.6439602709840395,34836,34836,34836,28815,0
9,4041,806,4.0136,178,1350,0.8681,693,337,1.0564,304,275,0.1055,0,1272,1.0,1648,2426,0.3207,0,1231,1.0,1015,815,0.2454,894,1654,0.4595,0,1231,1.0,0,358,1.0,816,698,0.1691,962,553,0.7396,447,539,0.1707,973,377,1.5809,2558,2137,0.197,766,482,0.5892,0,871,1.0,666,873,0.2371,1970,1930,0.0207,407,1012,0.5978,986,337,1.9258,1436,538,1.6691,451,1484,0.6961,4035,3671,0.0992,0,1438,1.0,711,67,9.6119,426,539,0.2096,503,412,0.2209,265,101,1.6238,1177,1142,0.0306,0,615,1.0,0,820,1.0,555,1644,0.6624,0.6527985896870868,34035,34836,34035,28883,801
